assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,100,100,0,20037,0,0,-2,2,0.0,0,0,3,-0.5,-0.5,0,Marc,0.0,0,0,0.0,34,False,0.0,0,0,0,0,0,,2018-08-29T15:31:12Z,43,0,0,0,20037.jpg,0.0,0,0,Pugh,0.4,False,7,a,2,91,0.0,0,7129,77,26440,145,0.0,0.0,Pugh,0
0,0,113,None,None,2,15237,0,0,-4,4,97.0,0,0,3,1.3,1.3,2,Andrew,1.8,22,0,21.8,35,False,97.6,0,0,0,0,808,,None,46,0,0,0,15237.jpg,1.9,0,0,Surman,0.2,False,6,a,2,91,22.0,21,8131,54,21641,62,0.4,4.6,Surman,1
1,3,90,100,100,1,56872,0,0,0,0,132.9,0,0,3,1.3,1.3,2,Junior,1.8,13,1,48.2,36,False,106.2,0,0,0,0,542,,2018-11-10T17:31:13Z,60,0,0,0,56872.jpg,2.2,0,0,Stanislas,0.1,False,19,a,2,91,242.0,29,7934,32,8570,81,0.3,4.8,Stanislas,1
0,0,79,0,0,1,40387,0,0,-2,2,86.2,0,0,3,0.0,0.0,0,Dan,0.0,10,0,25.5,37,False,116.4,0,0,0,0,656,Knee injury - Expected back 02 Jan,2018-11-30T10:01:14Z,48,0,0,0,40387.jpg,1.3,0,0,Gosling,0.1,False,4,i,2,91,54.0,16,3122,5,6898,49,0.0,3.3,Gosling,3
0,0,18,None,None,0,103912,0,0,-5,5,75.8,0,0,3,-0.2,-0.2,0,Jordon,0.3,6,0,15.1,38,False,21.0,0,0,0,0,204,,None,50,0,0,0,103912.jpg,1.1,0,0,Ibe,0.2,False,10,a,2,91,54.0,8,2907,28,23929,85,0.1,1.6,Ibe,0
0,0,91,0,0,3,155408,0,0,-3,3,50.4,0,0,3,0.0,0.0,0,Lewis,0.5,10,0,16.5,39,False,76.0,0,0,0,0,719,Anterior cruciate ligament  - Expected back 04 Jun,2018-12-06T14:31:16Z,47,0,0,0,155408.jpg,1.7,0,0,Cook,0.1,False,16,i,2,91,36.0,22,6832,8,18312,86,0.1,4.7,Lewis Cook,2
8,12,395,100,100,4,90105,-1,1,7,-7,663.2,3,0,3,3.5,3.5,2,Ryan,4.0,31,4,145.9,40,True,482.6,0,0,0,0,1564,,2018-10-20T13:01:16Z,62,0,0,0,90105.jpg,5.1,0,0,Fraser,25.2,False,24,a,2,91,311.0,96,2459602,7711,1162819,62665,0.6,15.2,Fraser,1
0,0,0,0,0,0,122342,0,0,0,0,0.0,0,0,3,0.0,0.0,0,Emerson,0.0,0,0,0.0,41,False,0.0,0,0,0,0,0,Loaned to Hibernian,2018-08-09T20:43:58Z,45,0,0,0,122342.jpg,0.0,0,0,Hyndman,0.0,False,22,u,2,91,0.0,0,70,0,2539,11,0.0,0.0,Hyndman,0
1,5,209,None,None,5,111317,0,0,0,0,206.4,1,0,3,3.2,3.2,2,David,3.7,22,5,91.3,42,False,319.6,0,0,0,0,1191,,None,50,0,0,0,111317.jpg,3.9,0,0,Brooks,3.3,False,20,a,2,91,386.0,67,344977,10722,164888,4662,0.7,13.4,Brooks,2
8,11,302,100,100,5,75115,0,0,8,-8,284.7,4,0,4,3.3,3.3,2,Callum,3.8,25,8,137.3,43,True,415.4,0,0,0,0,1509,,2018-12-19T01:01:15Z,68,0,1,0,75115.jpg,5.4,0,0,Wilson,32.8,False,13,a,2,91,675.0,97,3047358,15386,1515408,40968,0.6,14.3,Wilson,3
0,0,17,100,100,0,178304,0,0,-1,1,7.2,0,0,4,0.3,0.3,1,Lys,0.8,7,0,3.2,44,False,0.6,0,0,0,0,95,,2018-09-01T13:01:13Z,49,0,0,0,178304.jpg,0.9,0,0,Mousset,0.2,False,9,a,2,91,28.0,10,8866,99,16353,95,0.2,2.0,Mousset,1
2,9,201,100,100,5,78007,0,0,-2,2,211.2,2,0,4,1.8,1.8,1,Joshua,2.3,21,5,91.2,45,False,279.6,0,0,0,0,1315,,2018-10-26T10:01:17Z,63,0,0,0,78007.jpg,4.1,0,0,King,2.8,False,17,a,2,91,426.0,65,357548,1442,618170,4399,0.4,10.3,King,1
0,0,12,None,None,0,7958,0,0,-4,4,0.0,0,0,4,-0.5,-0.5,0,Jermain,0.0,2,0,2.6,46,False,3.0,0,0,0,0,22,,None,56,0,0,0,7958.jpg,1.0,0,0,Defoe,0.4,False,18,a,2,91,23.0,4,9302,76,40249,164,0.0,0.7,Defoe,0
0,0,53,75,75,0,171129,0,0,-3,3,116.1,0,0,2,-0.2,-0.2,0,Diego,0.3,9,0,20.0,473,False,66.0,0,0,0,0,331,,2018-09-28T10:01:14Z,42,0,0,0,171129.jpg,0.7,0,0,Rico,0.0,False,21,a,2,91,18.0,4,6207,15,6783,32,0.1,1.0,Rico,0
1,3,182,100,100,5,152551,0,0,0,0,127.9,0,0,3,0.7,0.7,1,Jefferson,1.2,25,1,50.4,494,False,257.2,0,0,0,0,1289,,2018-11-25T17:01:14Z,45,1,0,0,152551.jpg,2.3,0,0,Lerma,0.4,False,8,a,2,91,119.0,34,38849,196,33844,501,0.3,7.6,Lerma,9
0,7,318,0,100,3,131897,0,0,0,0,0.0,0,0,1,0.0,1.7,3,Mathew,2.2,27,0,43.1,47,False,431.0,0,0,0,0,1710,Away on International duty with Australia at the Asian Cup.  - Expected back 09 Feb,2018-12-26T22:31:37Z,45,0,0,0,131897.jpg,3.3,0,60,Ryan,4.8,False,1,n,3,36,0.0,63,228536,260,227760,12023,0.5,14.0,Ryan,0
