id,first_name,second_name,team,team_code,element_type,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost
230,Hamza,Choudhury,11,13,3,0,0,5,152,1,12.2,17.4,33.0,0,12,6.3,1,0,0,0.1,43
231,Adrien Sebastian,Perruchet Silva,11,13,3,0,0,3,87,1,6.3,14.2,0.0,0,16,2.1,0,0,0,0.2,47
232,Fousseni,Diabaté,11,13,3,0,0,1,54,1,15.8,7.4,0.0,0,4,2.3,0,0,0,0.0,46
233,James,Maddison,11,13,3,5,3,76,1384,21,623.0,411.4,329.0,7,330,136.1,5,1,1,5.2,68
234,Jamie,Vardy,11,13,4,6,2,66,1108,13,133.6,292.6,495.0,13,200,92.0,6,1,1,3.5,88
235,Shinji,Okazaki,11,13,4,0,1,16,157,1,22.0,35.0,65.0,0,38,12.0,0,0,0,0.6,52
236,Kelechi,Iheanacho,11,13,4,1,5,46,810,10,190.0,127.6,192.0,3,132,50.6,1,0,1,1.1,59
457,Danny,Ward,11,13,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,43
492,Rachid,Ghezzal,11,13,3,1,0,20,479,9,226.0,105.4,143.0,2,77,47.3,1,0,2,0.1,51
501,Filip,Benkovic,11,13,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
515,Caglar,Söyüncü,11,13,2,0,0,5,191,2,1.4,31.0,22.0,0,22,5.5,0,0,1,0.0,49
527,Nampalys,Mendy,11,13,3,0,1,40,1498,19,70.1,177.8,20.0,0,203,27.0,6,0,3,1.2,45
558,Josh,Knight,11,13,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40
237,Simon,Mignolet,12,14,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,48
238,Loris,Karius,12,14,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49
239,Dejan,Lovren,12,14,2,1,0,49,630,2,26.6,176.2,66.0,9,179,26.9,5,0,0,2.9,49
240,Alberto,Moreno,12,14,2,0,0,4,154,2,42.0,20.0,5.0,0,24,6.7,0,0,0,0.3,42
241,Nathaniel,Clyne,12,14,2,0,0,4,101,1,3.8,15.2,28.0,0,20,4.7,0,0,0,0.4,45
242,Joseph,Gomez,12,14,2,0,0,52,1047,4,91.8,208.6,44.0,2,259,34.5,7,0,2,1.4,49
243,Joel,Matip,12,14,2,1,0,28,275,2,7.1,89.6,23.0,3,100,12.0,2,0,0,0.2,49
244,Ragnar,Klavan,12,14,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44
245,Trent,Alexander-Arnold,12,14,2,1,3,84,1232,5,307.0,291.2,145.0,8,325,74.2,9,0,3,18.1,51
246,Virgil,van Dijk,12,14,2,1,2,103,1674,7,53.4,464.8,248.0,11,463,76.7,11,0,1,25.9,63
247,Andrew,Robertson,12,14,2,0,4,109,1521,5,352.8,322.8,148.0,15,449,82.5,12,0,0,35.2,66
248,Alex,Oxlade-Chamberlain,12,14,3,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,64
249,Jordan,Henderson,12,14,3,0,0,26,842,4,113.4,122.0,13.0,0,166,25.1,5,1,0,0.6,53
250,Adam,Lallana,12,14,3,0,1,11,188,0,38.6,28.4,65.0,0,40,13.2,2,0,1,0.7,69
251,Sadio,Mané,12,14,3,7,2,96,1434,6,318.5,398.8,601.0,13,299,131.8,10,0,1,20.7,96
252,Georginio,Wijnaldum,12,14,3,1,1,54,1427,6,192.5,205.4,181.0,3,218,58.1,10,0,1,1.2,55
253,Mohamed,Salah,12,14,3,12,7,137,1575,6,569.6,669.4,1098.0,7,404,234.0,12,0,0,39.7,132
254,James,Milner,12,14,3,3,2,61,1064,6,370.8,332.4,156.0,9,254,86.3,6,0,2,3.7,56
255,Fabio Henrique,Tavares,12,14,3,1,2,29,683,3,96.0,172.8,105.0,0,110,37.5,4,0,3,0.6,55
256,Naby,Keita,12,14,3,0,0,28,736,2,94.2,112.6,246.0,0,101,45.3,6,0,0,1.7,72
257,Roberto,Firmino,12,14,4,4,5,77,1424,3,358.3,325.6,602.0,10,301,128.1,14,0,0,15.7,92
259,Dominic,Solanke,12,14,4,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,47
462,Xherdan,Shaqiri,12,14,3,6,4,72,712,3,253.3,317.2,260.0,4,223,83.1,6,0,1,3.5,71
468,Alisson,Ramses Becker,12,14,1,0,0,98,1710,7,0.0,365.2,0.0,5,411,36.4,12,0,0,23.8,59
472,Daniel,Sturridge,12,14,4,2,0,21,259,2,75.1,95.4,148.0,2,84,31.7,1,0,1,1.0,57
543,Divock,Origi,12,14,4,1,1,11,71,1,23.3,50.0,42.0,1,40,11.5,0,0,0,0.1,50
557,Rafael,Camacho,12,14,3,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
223,Riyad,Mahrez,13,43,3,5,2,67,854,6,271.6,298.2,446.0,9,227,101.7,3,0,0,2.7,85
260,Ederson,Santana de Moraes,13,43,1,0,1,79,1710,15,23.0,296.0,0.0,4,326,31.9,8,0,1,23.9,57
